jobID,real,guess,pNFound
7984,3.0,0.18,1.00
8851,1.0,1.80,1.00
350,25.0,24.55,1.00
8847,25.75,36.67,0.95
8874,3.5,8.26,0.91
28,30.0,29.76,1.00
1639,7.0,2.07,0.75
1641,3.0,4.84,1.00
510,2.0,5.90,1.00
8981,9.5,16.93,1.00
7645,29.0,21.33,0.88
8187,17.0,16.49,1.00
1642,5.5,5.35,1.00
9015,1.0,1.99,0.57
9031,9.5,9.68,0.92
7938,20.5,0.00,0.55
8945,119.0,18.51,0.92
9048,3.0,0.67,0.00
8865,5.0,2.09,0.50
7804,5.0,13.66,0.81
9101,61.0,15.21,0.87
1656,11.0,8.91,0.95
8373,4.0,2.99,1.00
3357,94.0,82.55,0.97
8227,1.0,0.67,0.00
8584,8.0,0.99,0.33
9211,10.5,41.29,0.87
9081,7.0,3.80,0.80
9192,2.0,4.71,0.71
9250,8.0,9.81,0.90
9224,3.0,1.08,0.50
9270,4.0,1.61,1.00
7913,11.5,15.09,0.84
8966,19.5,23.86,0.91
9268,33.0,12.40,0.76
8975,5.0,1.34,1.00
8558,24.5,19.54,1.00
5354,29.0,46.47,0.94
9324,8.5,6.93,0.89
9319,2.0,2.28,1.00
6818,19.0,20.58,0.89
8850,10.0,8.58,0.60
9158,1.0,2.04,0.71
8956,10.0,7.68,0.88
6137,89.0,60.74,0.94
5010,20.0,0.67,0.00
9253,21.5,16.51,0.88
9449,2.0,0.67,0.00
9453,5.0,6.15,0.80
9459,3.0,4.14,0.67
8518,3.5,10.87,0.81
5634,1.0,69.52,0.56
9168,11.0,1.65,0.33
4328,82.5,10.93,0.50
7334,3.0,1.55,0.50
8914,1.0,0.67,0.00
9500,60.5,17.94,0.82
8741,2.5,2.65,0.57
9484,1.0,1.66,1.00
6908,1.0,0.67,0.00
9113,22.0,13.03,0.84
9537,12.0,13.31,0.91
